,allInPings,assistMePings,assists,baronKills,bountyLevel,champExperience,champLevel,championName,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,quadraKills,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
52,0,0,2,0,1,8278,11,Sion,0,2,5903,8395,5903,5160,0,1,0,0,5,1,False,False,False,True,False,True,6972,5175,TOP,0,0,0,1054,3084,6660,1001,1029,0,3340,12,0,1,NONE,0,0,1,0,7273,992,701,0,0,0,0,0,0,0,1,50243,2146,4635,0,0,SUPPORT,36,8,24,2,False,200,TOP,12,909,0,59187,3139,0,5754,0,466,0,115,377,0,1,0,1671,0,416,2,2,0,9,1,1,5,True
53,0,1,12,0,2,15789,16,Malphite,1,2,3817,9660,3817,37652,0,1,0,0,9,1,False,False,False,False,False,False,10987,9875,TOP,0,1,0,1054,3075,3111,3110,6665,0,3340,15,1,2,TOP,80,2,1,0,61749,7853,3583,0,10,0,0,0,1,0,5,63666,4911,6055,0,0,SOLO,48,48,50,5,False,100,TOP,20,1628,0,141908,13556,0,10611,2,3417,0,192,1295,0,1,0,16492,792,973,1,4,0,25,1,1,10,True
54,0,0,9,0,0,16047,16,Illaoi,0,4,1518,6208,1518,35182,7,2,0,0,2,0,False,False,False,False,False,True,11263,10825,TOP,0,0,0,1054,2055,3065,3071,6610,3111,3363,24,0,2,TOP,244,0,1,709,0,0,31490,0,9,0,0,0,0,0,9,192743,28564,11386,0,0,SOLO,104,91,25,11,False,200,TOP,5,1997,6,198324,29019,0,44212,0,12671,0,223,74,268,1,0,5581,454,1335,0,0,5,22,3,1,6,False
55,0,0,8,0,3,21731,18,Galio,0,8,2136,8678,2136,50483,3,5,0,0,4,2,True,False,False,False,False,True,15115,13250,TOP,0,0,0,6665,6664,3110,4646,2055,3111,3364,27,3,8,TOP,0,3,1,983,198143,26738,9124,0,8,0,0,0,0,0,10,10422,753,19008,0,0,SOLO,110,32,47,7,False,200,TOP,47,2291,4,210708,27789,1130,28992,0,5303,0,238,708,136,1,0,2143,298,860,0,2,2,28,6,3,8,True
56,0,0,3,0,4,8405,11,Ornn,0,4,1232,2612,1232,8407,0,3,0,0,4,0,False,False,True,False,False,True,6392,5825,TOP,0,0,0,1054,3075,3047,6660,1029,0,3364,14,1,4,NONE,0,4,1,0,19015,5855,5116,0,2,0,0,0,0,0,2,39327,4614,4468,0,0,SUPPORT,42,21,15,6,False,200,TOP,13,962,0,58541,10469,0,9625,0,1917,0,111,306,0,1,0,198,0,40,0,1,0,10,3,4,4,True
57,0,0,13,0,2,17940,17,Sion,2,2,9155,22894,9155,67371,2,1,0,1,2,1,False,False,False,True,False,False,15437,13575,TOP,1,1,0,6665,3068,3075,3047,3082,3110,3364,20,1,3,TOP,84,2,1,883,67227,10564,10698,0,27,0,0,1,0,0,7,139754,10484,12332,1,0,SOLO,95,53,61,12,False,200,TOP,51,2209,4,236071,21397,0,25600,11,4606,0,219,2364,71,1,0,29090,348,2568,3,5,2,25,1,2,4,True
58,0,0,9,0,2,14556,15,Xayah,3,3,784,1855,784,10518,6,2,2,0,4,0,False,False,False,False,False,False,13354,11300,BOTTOM,0,0,3,3156,1036,3031,3006,0,3095,3363,21,2,8,BOTTOM,629,4,2,458,5792,1191,9741,0,8,0,1,0,0,0,6,126417,16405,9964,0,0,CARRY,48,22,35,6,False,200,BOTTOM,9,1731,8,134373,18023,0,20420,0,4568,0,191,80,138,1,0,2163,426,713,1,1,11,24,2,1,8,False
59,0,0,8,0,6,22534,18,Jinx,4,8,10225,22277,10225,18541,4,3,6,0,9,0,False,False,False,False,False,False,23943,19525,BOTTOM,0,1,5,3072,3036,3009,6672,3031,3026,3363,24,5,25,BOTTOM,1079,9,3,696,2311,1347,19035,0,20,0,1,0,0,0,15,415047,68959,11582,0,0,CARRY,200,61,22,14,False,100,BOTTOM,36,2321,15,420155,71211,0,31185,0,16857,440,331,155,143,3,2,2797,904,566,2,5,11,24,3,6,13,False
60,0,1,4,0,4,9683,12,Vayne,1,3,5147,14273,5147,4670,2,2,2,0,6,0,False,False,False,False,False,False,10595,8600,BOTTOM,0,1,0,1055,3153,3006,1036,6672,1042,3363,19,3,10,BOTTOM,399,4,3,538,3044,374,2145,1,12,1,0,1,0,0,12,86359,12011,8129,0,0,SOLO,88,0,5,4,False,100,BOTTOM,9,1380,8,105187,15481,0,10657,4,5147,0,133,91,31,1,1,15783,3095,382,1,4,1,19,2,1,8,True
61,0,0,7,0,0,14674,15,KSante,1,2,115,2242,115,48240,8,1,0,0,6,0,False,False,False,False,False,False,9094,8575,TOP,0,0,2,1054,3084,3075,3111,1057,1029,3364,21,0,0,TOP,4,0,0,463,3848,835,21577,0,6,0,0,0,0,0,4,97997,17653,24463,0,0,SOLO,201,25,52,14,False,200,TOP,55,2173,4,125151,20115,0,47512,0,6669,0,149,419,264,1,0,23305,1627,1472,0,0,9,15,1,1,5,True
